id,carrierName,group,marketshare,groupcode
47,Connection Dental,OTHER,0.2443,-9999
48,Moda Health,OTHER,0.2443,-9999
52,Ambetter Superior Health Plan,OTHER,0.2443,-9999
58,Blue Cross Blue Shield of Oklahoma,OTHER,0.2443,-9999
61,HealthLink,OTHER,0.2443,-9999
62,Health Alliance,OTHER,0.2443,-9999
65,Sagamore Health Network,OTHER,0.2443,-9999
66,TRICARE,OTHER,0.2443,-9999
69,WPS,OTHER,0.2443,-9999
71,SIHO Insurance Services,OTHER,0.2443,-9999
72,HMSA,OTHER,0.2443,-9999
75,HIP of NY,OTHER,0.2443,-9999
76,Preferred One,OTHER,0.2443,-9999
77,Encore Health Network,OTHER,0.2443,-9999
83,CommunityCare,OTHER,0.2443,-9999
85,Common Ground,OTHER,0.2443,-9999
90,First Dental Health,OTHER,0.2443,-9999
92,Network Health Plan,OTHER,0.2443,-9999
96,LA Care Health,OTHER,0.2443,-9999
97,SummaCare,OTHER,0.2443,-9999
98,Imagine Health - SmartCare,OTHER,0.2443,-9999
99,Liberty Dental,OTHER,0.2443,-9999
101,Sharp Health Plan,OTHER,0.2443,-9999
102,Western Health Advantage,OTHER,0.2443,-9999
103,Group Health Coop,OTHER,0.2443,-9999
104,HealthSpan,OTHER,0.2443,-9999
106,Arise Health Plan,OTHER,0.2443,-9999
107,Aultcare,OTHER,0.2443,-9999
108,Altius,OTHER,0.2443,-9999
109,Indiana University,OTHER,0.2443,-9999
110,Prominence Health Plan,OTHER,0.2443,-9999
111,The Health Plan of Upper OH,OTHER,0.2443,-9999
112,Great West,OTHER,0.2443,-9999
113,PHP Northern IN,OTHER,0.2443,-9999
115,Vanderbilt Health,OTHER,0.2443,-9999
116,Health Plan of Nevada,OTHER,0.2443,-9999
117,Unity Health Insurance,OTHER,0.2443,-9999
121,Blue Cross Blue Shield of Louisiana,OTHER,0.2443,-9999
122,FrontPath Health Coalition,OTHER,0.2443,-9999
125,Healthy Connecticut,OTHER,0.2443,-9999
126,Blue Cross Blue Shield of New Mexico,OTHER,0.2443,-9999
128,Scion Dental,OTHER,0.2443,-9999
131,Hometown Health,OTHER,0.2443,-9999
133,One Health Network,OTHER,0.2443,-9999
134,Bluegrass Family Health,OTHER,0.2443,-9999
138,Diversified Dental,OTHER,0.2443,-9999
139,Chinese Community Health Plan,OTHER,0.2443,-9999
140,Cofinity,OTHER,0.2443,-9999
142,Imagine Health - Innovative Health,OTHER,0.2443,-9999
145,MagnaCare,OTHER,0.2443,-9999
146,First Choice Health,OTHER,0.2443,-9999
148,Coordinated Health Mutual/InHealth OH,OTHER,0.2443,-9999
149,FirstCare,OTHER,0.2443,-9999
150,University Family Care,OTHER,0.2443,-9999
154,Maricopa Health Plan,OTHER,0.2443,-9999
156,Blue Cross Blue Shield of Wyoming,OTHER,0.2443,-9999
157,MHealth,OTHER,0.2443,-9999
158,Healthplex Dental,OTHER,0.2443,-9999
159,Bridgespan,OTHER,0.2443,-9999
160,Advantage Health,OTHER,0.2443,-9999
161,LifeWise,OTHER,0.2443,-9999
163,Phoenix Healthplan,OTHER,0.2443,-9999
164,Lovelace Health Plan,OTHER,0.2443,-9999
165,New Health Ventures - CO,OTHER,0.2443,-9999
167,HealthPlus MI,OTHER,0.2443,-9999
